start,end
16777216,16777471
16777472,16778239
16778240,16779263
16779264,16781311
16781312,16785407
16785408,16793599
16793600,16809983
16809984,16842751
16842752,16843007
16843008,16843263
16843264,16859135
16859136,16875519
16875520,16908287
16908288,16909055
16909056,16909311
16909312,16941055
16941056,16973823
16973824,17039359
17039360,17039615
17039616,17072127
17072128,17104895
17104896,17170431
17170432,17301503
17301504,17367039
17367040,17432575
17432576,17435135
17435136,17435391
17435392,17465343
17465344,17498111
17498112,17563647
17563648,17825791
17825792,17842175
17842176,17986559
17986560,18087935
18087936,18153471
18153472,18219007
18219008,18350079
18350080,18874367
